,nofloors,polygon,shading,height,wwr,construction,age,FLOOR_1: use,FLOOR_2: use,FLOOR_3: use,FLOOR_4: use,FLOOR_5: use,FLOOR_6: use,FLOOR_7: use,FLOOR_8: use,FLOOR_9: use,FLOOR_10: use,FLOOR_11: use,FLOOR_12: use,FLOOR_13: use,FLOOR_14: use,FLOOR_15: use,FLOOR_16: use,FLOOR_17: use,FLOOR_18: use,FLOOR_19: use,FLOOR_20: use,centroid_x,centroid_y,encoded_age,type
52401131610004,2,"POLYGON ((532330.3 165302.15, 532353.95 165307.6, 532364.9 165310, 532364.15 165313.1, 532349.1 165311.05, 532336.8 165309.4, 532328.5 165308.15, 532330.1 165302.7, 532330.3 165302.15))",False,12.5,0.15304020337151122,,PRE-1914,Hospitality,Hospitality,,,,,,,,,,,,,,,,,,,532344.9943121398,165308.03697617026,1.0,nondom
52401131610006,2,"POLYGON ((532369.75 165290.25, 532369.05 165293, 532369 165293.2, 532367.65 165298.85, 532366.2 165304.85, 532354 165302.2, 532342.6 165299.75, 532331.7 165297.3, 532333.05 165292.95, 532333.85 165290.1, 532335.3 165284.7, 532335.55 165284.7, 532355.65 165290.35, 532356.6 165286.95, 532369.75 165290.25))",False,20.74,0.14503401497031895,,PRE-1914,Shop,Shop,,,,,,,,,,,,,,,,,,,532351.4005893583,165294.62278602275,1.0,nondom
52401131610009,1,"POLYGON ((532337.15 165314.1, 532327 165313.5, 532328.5 165308.15, 532336.8 165309.4, 532349.1 165311.05, 532364.15 165313.1, 532363.4 165316.05, 532362.75 165316, 532360.1 165315.85, 532355.55 165315.6, 532345.8 165315.15, 532345.85 165314.65, 532337.15 165314.1))",False,6.31,0.194567650917318,,PRE-1914,Shop,,,,,,,,,,,,,,,,,,,,532344.2014345111,165312.5672066361,1.0,nondom
52401131610011,2,"POLYGON ((532343.5 165278.15, 532337.85 165276.55, 532338.95 165272.65, 532344.6 165274.15, 532343.5 165278.15))",False,10.87,0.11449185846422226,,PRE-1914,Hospitality,Hospitality,,,,,,,,,,,,,,,,,,,532341.2356540743,165275.379545218,1.0,nondom
52401131910001,2,"POLYGON ((532327.9 165235.2, 532327.3 165237.6, 532310.25 165233.35, 532315.15 165233.9, 532321.7 165234.55, 532327.9 165235.2))",False,3.43,0.2084940843592752,,PRE-1914,Hospitality,Hospitality,,,,,,,,,,,,,,,,,,,532321.8758709789,165235.39733480432,1.0,nondom
52401132610010,1,"POLYGON ((531709.9 165310.25, 531719.55 165311.85, 531718.8 165315.9, 531714.8 165315.1, 531714.6 165316.4, 531713.3 165316.1, 531713.55 165314.9, 531709.15 165314, 531709.9 165310.25))",False,3.28,0.11009763327722101,,PRE-1914,Shop,,,,,,,,,,,,,,,,,,,,531714.3900793163,165313.12105211915,1.0,nondom
52401132610011,2,"POLYGON ((531590.35 165290.6, 531586.3 165299.05, 531577.75 165295, 531578.1 165294.3, 531581.15 165287.8, 531587.4 165290.8, 531589.25 165286.9, 531591 165287.75, 531590.35 165290.6))",False,5.1,0.123608904846795,,PRE-1914,Office,Office,,,,,,,,,,,,,,,,,,,531584.4036777975,165292.96203771452,1.0,nondom
52401133610004,4,"POLYGON ((532324.5 165255.55, 532308.03 165251.08, 532309.44 165246.05, 532314.9 165247.5, 532324.2 165249.95, 532325.5 165252.3, 532324.5 165255.55))",False,10.31,0.0852380349455555,,PRE-1914,Office,Office,Office,Office,,,,,,,,,,,,,,,,,532316.8675325363,165250.78525163778,1.0,nondom
52401133610006,1,"POLYGON ((532316.562 165286.104, 532315.056 165285.693, 532307.189 165283.452, 532301.7 165281.9, 532301.3 165281.75, 532302.4 165278.35, 532305.5 165279.35, 532307.3 165273.8, 532318.4 165277.55, 532318 165279.3, 532316.562 165286.104))",False,10.63,0.0810791517950871,,PRE-1914,Shop,,,,,,,,,,,,,,,,,,,,532310.8058691374,165280.11252126002,1.0,nondom
52401133610010,1,"POLYGON ((532309.1 165268.05, 532309.7 165265.9, 532320.45 165269.35, 532319.6 165272.2, 532313.8 165270.3, 532314.05 165269.7, 532309.1 165268.05))",False,11.95,0.0936361065950378,,PRE-1914,Shop,,,,,,,,,,,,,,,,,,,,532315.0615190814,165269.02737308235,1.0,nondom
