SCU,nofloors,polygon,shading,height,wwr,construction,age,FLOOR_1: use,FLOOR_2: use,FLOOR_3: use,FLOOR_4: use,FLOOR_5: use,FLOOR_6: use,FLOOR_7: use,FLOOR_8: use,FLOOR_9: use,FLOOR_10: use,FLOOR_11: use,FLOOR_12: use,FLOOR_13: use,FLOOR_14: use,FLOOR_15: use,FLOOR_16: use,FLOOR_17: use,FLOOR_18: use,FLOOR_19: use,FLOOR_20: use,centroid_x,centroid_y,encoded_age,type,epc_rating_current,epc_rating_potential,d_epc_mainht_fuel,d_epc_mainht_plant,d_epc_mainht_room,d_epc_secondht_fuel,d_epc_dhw_fuel,d_epc_dhw_plant,d_epc_envelope_flr_type,d_epc_envelope_flr_insulation,d_epc_envelope_rf_type,d_epc_envelope_rf_insulation,d_epc_envelope_wall_type,d_epc_envelope_wall_insulation,d_epc_glazing_type,Cluster
52401020930005,2,"POLYGON ((532130.73 164878.33, 532134.85 164880.8, 532130.71 164887.76, 532129.2 164886.85, 532125.8 164892.5, 532123.23 164890.96, 532130.73 164878.33))",FALSE,6.79,0.152921603635773,,PRE-1914,Dwell,Dwell,,,,,,,,,,,,,,,,,,,532129.1953363870,164885.02392013500,1.0,dom,D,B,Mains Gas,Boiler,Radiators,None,Mains Gas,Boiler,Suspended,No,Pitched,Yes,Solid Brick,No,Double,dom0
52401020930006,2,"POLYGON ((532222.5 164734.35, 532221.1 164731.35, 532224 164730.05, 532222.3 164726.3, 532233.25 164721.3, 532235.45 164726.05, 532234.6 164726.45, 532236.15 164729.85, 532225.95 164734.55, 532225.25 164733.1, 532222.5 164734.35))",FALSE,7.53,0.0840534809429389,,PRE-1914,Dwell,Dwell,,,,,,,,,,,,,,,,,,,532228.8741219490,164728.29114459000,1.0,dom,D,C,Mains Gas,Boiler,Radiators,None,Mains Gas,Boiler,Above (premises),Internal Floor,Below (premises),Internal Floor,Solid Brick,No,Double (post 2002),dom3
52401020930007,1,"POLYGON ((532042.55 164870.3, 532042.9 164869.68, 532042.3 164869.35, 532040.05 164873.15, 532040.93 164873.56, 532038.35 164878.75, 532041.7 164880.4, 532045.85 164871.95, 532042.55 164870.3))",FALSE,3.85,0.0933127962085308,,PRE-1914,Dwell,,,,,,,,,,,,,,,,,,,,532042.0490371930,164875.00716780200,1.0,dom,E,E,Mains Gas,Boiler,Radiators,None,Mains Gas,Boiler,Solid,No,Pitched,Yes,Granite/Whinstone,No,Secondary,dom0
52401020930008,2,"POLYGON ((532053.7 164873.9, 532050.85 164872.25, 532048.9 164875.55, 532047.05 164874.5, 532043.2 164881.15, 532044 164881.6, 532043.5 164882.45, 532045.75 164883.75, 532046.25 164882.95, 532047.83 164883.86, 532049.9 164885.05, 532049.4 164885.85, 532051.3 164886.9, 532051.75 164886.15, 532052.53 164886.58, 532052.58 164886.49, 532056.4 164879.95, 532054.75 164879, 532056.7 164875.65, 532053.7 164873.9))",FALSE,6.56,0.0670347554247885,,PRE-1914,Dwell,Dwell,,,,,,,,,,,,,,,,,,,532050.3895421010,164879.5516446930,1.0,dom,D,C,Mains Gas,Boiler,Radiators,None,Mains Gas,Boiler,Suspended,No,Below (premises),Internal Floor,Solid Brick,No,Double,dom0
52401020930009,2,"POLYGON ((532198.78 164746.31, 532201.5 164747.3, 532205.05 164737.85, 532203.6 164737.3, 532202.75 164735.7, 532201.15 164736.4, 532200.15 164736, 532199.3 164734.45, 532197.7 164735.15, 532196.3 164734.65, 532194.56 164739.24, 532185.4 164735.75, 532181.8 164745.3, 532184.6 164746.37, 532185.85 164746.85, 532186.75 164744.35, 532187.9 164744.8, 532186.95 164747.25, 532186.45 164748.65, 532187.65 164749.1, 532188.15 164747.72, 532190.95 164748.8, 532192.74 164744.07, 532195.21 164744.99, 532194.67 164746.37, 532195.9 164746.8, 532197.1 164747.25, 532198.25 164747.7, 532198.78 164746.31))",FALSE,6.05,0.100197847213143,,1945-1980,Dwell,Dwell,,,,,,,,,,,,,,,,,,,532193.6348084030,164741.67279155100,3.0,dom,C,C,Mains Gas,Boiler,Radiators,None,Mains Gas,Boiler,Solid,No,Below (premises),Internal Floor,Cavity,Yes,Double (post 2002),dom3
52401020930010,2,"POLYGON ((532083.9 164609.55, 532082.6 164608.95, 532084.6 164604.5, 532083.75 164604.15, 532083.3 164603.05, 532081.6 164602.3, 532080.8 164602.7, 532073.65 164599.4, 532071.15 164605, 532069.95 164605.2, 532069.1 164607.15, 532069.65 164608, 532067.35 164613, 532075.4 164616.65, 532074.4 164618.8, 532080.65 164621.65, 532082.7 164617.25, 532080.8 164616.4, 532083.01 164611.51, 532084.8 164612.35, 532085.7 164610.45, 532083.9 164609.55))",FALSE,7.0,0.176359464950347,,PRE-1914,Dwell,Dwell,,,,,,,,,,,,,,,,,,,532076.7509890710,164609.99937087800,1.0,dom,G,F,Mains Gas,Boiler,Radiators,Other (Coal),Mains Gas,Boiler,Suspended,No,Pitched,No,Solid Brick,No,Secondary,dom3
52401020930011,3,"POLYGON ((532039.72 164696.22, 532037.8 164692.65, 532040.25 164691.35, 532040.4 164690.45, 532038.25 164686.55, 532034 164688.85, 532034.3 164689.45, 532033.2 164690.05, 532033.75 164691.05, 532027.95 164694.2, 532029.1 164696.35, 532028.05 164696.9, 532030.37 164701.18, 532032.7 164705.5, 532033.65 164705, 532034.8 164707.15, 532040.45 164704.1, 532041.3 164705.7, 532042.2 164705.2, 532042.5 164705.7, 532047 164703.25, 532045.1 164699.7, 532043.8 164699.15, 532041.9 164700.25, 532039.72 164696.22))",FALSE,10.39,0.0898185175588133,,PRE-1914,Dwell,Dwell,Dwell,,,,,,,,,,,,,,,,,,532036.4193911180,164698.07812061900,1.0,dom,E,E,Mains Gas,Boiler,Radiators,Other (Wood Logs),Mains Gas,Boiler,Suspended,No,Below (premises),Internal Floor,Solid Brick,No,Single,dom2
52401020930012,2,"POLYGON ((532107.75 164910.6, 532115.1 164915, 532110.59 164922.59, 532103.25 164918.21, 532107.75 164910.6))",FALSE,6.32,0.23956356582882,,PRE-1914,Dwell,Dwell,,,,,,,,,,,,,,,,,,,532109.1724909010,164916.59811006000,1.0,dom,E,C,Mains Gas,Boiler,Radiators,Other (Coal),Mains Gas,Boiler,Suspended,No,Pitched,No,Solid Brick,No,Double,dom3
52401020930013,4,"POLYGON ((532214.45 164692.38, 532213.14 164690.21, 532214.95 164689.1, 532211.4 164683.3, 532197.75 164691.65, 532201.4 164697.5, 532200.65 164697.95, 532202.75 164701.35, 532204.9 164704.75, 532206.65 164707.6, 532210.87 164705, 532212.21 164707.15, 532208.66 164709.33, 532209.71 164711.04, 532211.7 164714.27, 532212.21 164715.09, 532214.9 164713.44, 532217.66 164711.74, 532220.36 164710.08, 532223.16 164708.36, 532225.86 164706.69, 532225.34 164705.87, 532223.35 164702.69, 532222.28 164700.98, 532222.9 164700.6, 532216.95 164690.85, 532214.45 164692.38))",FALSE,11.43,0.122975190717353,,1945-1980,Dwell,Dwell,Dwell,Dwell,,,,,,,,,,,,,,,,,532211.7963796430,164699.11360511400,3.0,dom,C,B,Mains Gas,Boiler,Radiators,None,Mains Gas,Boiler,Above (premises),Internal Floor,Below (premises),Internal Floor,Cavity,Partial,Single,dom2
52401020930014,3,"POLYGON ((532142.7 164744.5, 532139.45 164748.65, 532138.1 164747.55, 532133.85 164752.95, 532126 164746.7, 532133.5 164737.25, 532142.7 164744.5))",FALSE,6.16,0.0674750451563836,,1945-1980,Dwell,Dwell,Dwell,,,,,,,,,,,,,,,,,,532134.1439672510,164745.15494153300,3.0,dom,D,C,Electricity,Unknown,Underfloor,None,Electricity,ImmersionHeater,Above (premises),Internal Floor,Below (premises),Internal Floor,Cavity,No,Double,dom2
